ticker,trade_date,source_sha256,underlying_rows,required_window_minutes,expected_required_window_minutes,out_of_scope_invalid_rows
SPXW,20230426,17286523836f029fe8e9704074e336a3d8b99c5b5f64ff7e2a7dd26e685568a0,391,390,390,0
SPXW,20230427,b2b6b594c1db08ec10e0de68337f9fd7cbd7db534253e4d84a798dab538e1602,391,390,390,0
SPXW,20230428,aee4a33073b066d1b4cee350c9c1a262ce2d3e90b7f58f7624dfcaef68e37bef,391,390,390,0
SPXW,20230501,4fcd2fd8ab1238dd99f3b25d482ec51125daa38f6659034616e3111d330a2854,391,390,390,0
SPXW,20230502,a5325e9029d64f3563042712e44767e0123f456226a0fb4dd8ac891543cede68,391,390,390,0
SPXW,20230503,7aa9c50da98b36eac2af5d920100df4f827e42832075efca0ef9b07633a29d14,391,390,390,0
SPXW,20230504,d512ded486dab57c57ab51057e06ae38dcaf1c5c9049eb229cec9cdf9fa9ede1,391,390,390,0
SPXW,20230505,89449658965745a57aae6e0928686f33b69d4fae6c590f250bc71ef4582169da,391,390,390,0
SPXW,20230508,4400d62a14b278406c6ac6271470eba09408ea0447650e187edb45db23857481,391,390,390,0
SPXW,20230509,0f0a8d122114c86c38cb460667f34f2342686002198ea7c6d94ea1d3afa880cd,391,390,390,0
SPXW,20230510,14862f7b309cafc93f2fc84edbb5bf856652a8f8f5c73e3e20aa85d68d4103a6,391,390,390,0
SPXW,20230511,396d933f70cdbc44e9cf09c8818f15133dd49491f0baa988d863f3e09a9ed5c8,391,390,390,0
SPXW,20230512,7fdb029f241be4fef8d8fa454d3a43f1bc9a16fb25061a8ee67e4db68c3f5341,391,390,390,0
SPXW,20230515,55d7ca6012128008b0ffadd311701e0a06dc646ae1b98cbd61e163bddd6646ef,391,390,390,0
SPXW,20230516,50c484187bd5c278134cd71d3f2c33c811247287866ab0050f51e771fc262f62,391,390,390,0
SPXW,20230517,ef972c8b6d886823fca5508c03c9a8df6cbfe76924ddcd44e3140080a7943668,391,390,390,0
SPXW,20230518,536fd2b8ebccbe57d3c349d62d92242c1342ebfda9a3c8fb2d65c1cf9882f650,391,390,390,0
SPXW,20230519,f3993c7976b3d6ec40a745553455ae6bf50a202dd274f641068a77b5bb9a6a77,391,390,390,0
SPXW,20230522,46d091442fdf430113b84c4e2d03992b839b832173508ec02e2368482a5e195b,391,390,390,0
SPXW,20230523,e6bcddba36d7e719ecad7f8721b7c403b1e27b984e5f5866f1bb1ff2681298d8,391,390,390,0
