sources,maxday,minscore,select_pass,test_pass,sel_tr,sel_wr,sel_pf,sel_minM,sel_pnl,sel_call,test_tr,test_wr,test_pf,test_minM,test_pnl,test_call,both,near
"ptdj35,topk,cons22",5,0.2,True,True,245,0.4816326530612245,1.3681343171179394,80,12.05665364460419,0.5510204081632653,340,0.49411764705882355,1.7506221717107824,58,35.77590165513665,0.5323529411764706,True,2.710257089068818
"struct,ptdj35,cons32",5,-999999.0,True,True,257,0.4785992217898833,1.3088791074965678,82,10.695001789316677,0.5369649805447471,415,0.5036144578313253,1.4752560450478083,72,25.5774458458478,0.5228915662650603,True,2.708562511786793
"ptdj35,cons22,topk",5,0.2,True,True,245,0.4816326530612245,1.3650569358673823,80,11.955867279016644,0.5510204081632653,340,0.49411764705882355,1.7506221717107824,58,35.77590165513665,0.5323529411764706,True,2.707179707818261
"struct,cons22,ptdj35",5,0.0,True,True,251,0.4820717131474104,1.3502096860565145,81,11.779055500805143,0.549800796812749,391,0.4961636828644501,1.5782244459795578,66,30.673374444299125,0.5345268542199488,True,2.704904924059793
"topk,cons22,ptdj35",5,0.2,True,True,245,0.4816326530612245,1.3681343171179394,80,12.05665364460419,0.5510204081632653,340,0.49411764705882355,1.7446679820182807,58,35.49211506728582,0.5323529411764706,True,2.7043028993763163
"struct,cons32,ptdj35",5,-999999.0,True,True,257,0.4785992217898833,1.3088791074965678,82,10.695001789316679,0.5369649805447471,415,0.5036144578313253,1.4685351014858639,72,25.21573646459976,0.5228915662650603,True,2.7018415682248484
"ptdj35,cons22,topk",5,0.0,True,True,250,0.48,1.331858842532275,80,11.13170101659848,0.548,389,0.4987146529562982,1.6011618480750758,66,31.40467038232134,0.5372750642673522,True,2.690449996519947
"ptdj35,struct,cons22",5,0.0,True,True,251,0.4820717131474104,1.3502096860565145,81,11.779055500805141,0.549800796812749,391,0.4936061381074169,1.5667570352887292,66,30.235083825547164,0.5370843989769821,True,2.688322423854898
"ptdj35,struct,cons32",5,-999999.0,True,True,257,0.4785992217898833,1.3088791074965678,82,10.695001789316677,0.5369649805447471,415,0.5012048192771085,1.4578390569495678,72,24.777445845847804,0.5253012048192771,True,2.686326246580119
"ptdj35,cons22,wconly",5,-999999.0,True,True,250,0.48,1.331858842532275,80,11.13170101659848,0.548,388,0.5051546391752577,1.5811952558463755,66,29.937355136491956,0.5335051546391752,True,2.683363376729166
"cons22,topk,ptdj35",5,0.0,True,True,250,0.476,1.3070566968837827,80,10.336715789340879,0.548,389,0.5012853470437018,1.6203286685051566,66,32.07555868585682,0.5347043701799485,True,2.6819560594763425
"cons22,topk,ptdj35",5,0.2,True,True,245,0.4775510204081633,1.3448466856470032,80,11.33548204664043,0.5510204081632653,340,0.49411764705882355,1.7532240377414237,58,35.72471275206934,0.5323529411764706,True,2.6814080583224005
"cons22,ptdj35,topk",5,0.2,True,True,245,0.4775510204081633,1.3448466856470032,80,11.33548204664043,0.5510204081632653,340,0.49411764705882355,1.7532240377414237,58,35.72471275206934,0.5323529411764706,True,2.6814080583224005
